source,target,edge_type,edge_possibly_sensitive,source_stance,target_stance,account_id,account_type,Lang,stance,account_id_target,account_type_target,Lang_target,stance_target
27176697,38521731,retweet,False,Unknown,Unknown,,,,,,,,
61423468,330826792,retweet,False,Unknown,Unclear,,,,,330826792.0,Journalistic actors,en,Unclear
570816898,435704007,retweet,False,Unknown,Unknown,,,,,,,,
15725777,229092117,retweet,False,Unknown,Unknown,,,,,,,,
876339662,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
2385160333,77002320,retweet,False,Unknown,Unknown,,,,,,,,
777958170,400334965,retweet,False,Unknown,Unclear,,,,,400334965.0,Journalistic actors,,Unclear
1163887880,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
21286989,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
2279670090,914018270,retweet,False,Unknown,Unknown,,,,,,,,
105977432,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
588523909,197332662,retweet,False,Unknown,Unknown,,,,,,,,
123219953,380648579,retweet,False,Unknown,Unknown,,,,,,,,
152958374,38765986,retweet,False,Unknown,Unknown,,,,,,,,
1862116933,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
575387656,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
14648751,291698362,retweet,False,Unknown,Unknown,,,,,,,,
152387400,23008743,retweet,False,Unknown,Unknown,,,,,,,,
4323884175,55043362,retweet,False,Unknown,Unknown,,,,,,,,
1405337395,250188760,retweet,False,Unknown,Unknown,,,,,,,,
2797138459,197332662,retweet,False,Unknown,Unknown,,,,,,,,
357614010,117777690,retweet,False,Unknown,Unknown,,,,,,,,
2268206887,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
237393564,1024713882,retweet,False,Unknown,Unknown,,,,,,,,
2842612096,421980793,retweet,False,Unknown,Unknown,,,,,,,,
274285825,34294667,retweet,False,Unknown,Unknown,,,,,,,,
413492357,380648579,retweet,False,Unknown,Unknown,,,,,,,,
42858599,790680,retweet,False,Unknown,Unknown,,,,,,,,
345164733,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
233172857,1198481,retweet,False,Unknown,Unknown,,,,,,,,
52493,117777690,retweet,False,Unknown,Unknown,,,,,,,,
153132339,380648579,retweet,False,Unknown,Unknown,,,,,,,,
2986385231,380648579,retweet,False,Unknown,Unknown,,,,,,,,
2865859529,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
570816898,435704007,retweet,False,Unknown,Unknown,,,,,,,,
4204640182,4105032803,retweet,False,Unknown,Unknown,,,,,,,,
359514537,380648579,retweet,False,Unknown,Unknown,,,,,,,,
488949811,197332662,retweet,False,Unknown,Unknown,,,,,,,,
3031574752,16676396,retweet,False,Unknown,Unknown,,,,,,,,
3342533435,284542956,retweet,False,Unknown,Unknown,,,,,,,,
302017377,117777690,retweet,False,Unknown,Unknown,,,,,,,,
574425832,380648579,retweet,False,Unknown,Unknown,,,,,,,,
216125991,16676396,retweet,False,Unknown,Unknown,,,,,,,,
2365305244,63951334,retweet,False,Unknown,Unknown,,,,,,,,
171389053,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
322800499,38521731,retweet,False,Unknown,Unknown,,,,,,,,
13895242,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
14056189,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
3074917589,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
190773033,1465126418,retweet,False,Unknown,Unknown,,,,,,,,
5833322,21221064,retweet,False,Unknown,Unknown,,,,,,,,
485114778,21215544,retweet,False,Unknown,Unknown,,,,,,,,
139156833,380648579,retweet,False,Unknown,Unknown,,,,,,,,
190773033,1465126418,retweet,False,Unknown,Unknown,,,,,,,,
4342080437,47384568,retweet,False,Unknown,Unknown,,,,,,,,
371342825,2264785178,retweet,False,Unknown,Unknown,,,,,,,,
599979316,386424543,retweet,False,Unknown,Unknown,,,,,,,,
236466533,380648579,retweet,False,Unknown,Unknown,,,,,,,,
500337135,26613480,retweet,False,Unknown,Unknown,,,,,,,,
87315598,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
156772034,17139736,retweet,False,Unknown,Unknown,,,,,,,,
2774983910,338985020,retweet,False,Unknown,Unclear,,,,,338985020.0,Journalistic actors,fr,Unclear
156772034,31496613,retweet,False,Unknown,Unknown,,,,,,,,
1112686849,1465126418,retweet,False,Unknown,Unknown,,,,,,,,
391264779,252808562,retweet,False,Unknown,Unknown,,,,,,,,
143488069,28191953,retweet,False,Unknown,Unknown,,,,,,,,
2222200111,1882241653,retweet,False,Unknown,Unknown,,,,,,,,
448062955,21334326,retweet,False,Unknown,Unknown,,,,,,,,
141122615,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
2645794278,972651,retweet,False,Unknown,Unknown,,,,,,,,
156772034,18713552,retweet,False,Unknown,Unknown,,,,,,,,
359289896,100248020,retweet,False,Unknown,Unknown,,,,,,,,
111954709,19834403,retweet,False,Unknown,Unknown,,,,,,,,
1197563712,115099953,retweet,False,Unknown,Unclear,,,,,115099953.0,Political actors,en,Unclear
391099065,25960714,retweet,False,Unknown,Unknown,,,,,,,,
2823357395,1198481,retweet,False,Unknown,Unknown,,,,,,,,
