tweet_id,author_id,date,media_id
675827468775718912,214748274,2015-12-12,3_675748710089940992
675827395639836672,433493058,2015-12-12,3_675813573877198849
675827385506205696,305764844,2015-12-12,3_675745682129555460
675827384780726273,2265170936,2015-12-12,3_675747571751632896
675827355823161344,236250264,2015-12-12,3_675744611286020096
675827340983836672,18856976,2015-12-12,3_675753438765056000
675827338190327808,190544832,2015-12-12,3_675770699550695424
675827320356212737,90638611,2015-12-12,3_675741097486917633
675827316480745472,2653832196,2015-12-12,3_675748710089940992
675827315142737920,45388457,2015-12-12,3_675747571751632896
675827289402253312,278914984,2015-12-12,3_675770699550695424
675827278606135296,90638611,2015-12-12,3_675741404145037313
675827278295777280,314125926,2015-12-12,3_675640229282250753
675827258599190528,35806640,2015-12-12,3_675747571751632896
675827253540954112,786625296,2015-12-12,3_675827253423554560
675827250982428673,786625296,2015-12-12,3_675827250697216000
675827244045070336,72732639,2015-12-12,3_675744611286020096
675827233085263872,3741023714,2015-12-12,3_675736141744594944
675827218652663808,3181309406,2015-12-12,3_675744039422046208
675827212461936644,252987054,2015-12-12,3_675809229681401856
675827201179299842,54884992,2015-12-12,3_675813573877198849
675827132145246209,364419489,2015-12-12,3_675745682129555460
675827130157170692,1468113726,2015-12-12,3_675765002847023104
675827126059196416,34121956,2015-12-12,3_675748020558897153
675827114785030144,143536795,2015-12-12,3_675827113572892672
675827108887846912,278050842,2015-12-12,3_674310234110861312
675827083835138048,439969511,2015-12-12,3_675755167640350720
675827055884390400,1260063007,2015-12-12,3_675750562487472128
675827052625436672,3782604881,2015-12-12,3_675775268418674688
675827044593332224,128082326,2015-12-12,3_675815838146949120
675827026746605569,493736542,2015-12-12,3_675771299004882944
675827024196476928,40862716,2015-12-12,3_675745192817917952
675826946924814336,3400518881,2015-12-12,3_675770699550695424
675826932936744960,2165310961,2015-12-12,3_675764751432032256
675826899369648128,3768336972,2015-12-12,3_675753438765056000
675826882521210880,255144027,2015-12-12,3_675821345360474112
675826881283940352,456802508,2015-12-12,3_675770699550695424
675826864032628738,35806640,2015-12-12,3_675636907993374720
675826843660996609,456802508,2015-12-12,3_675821345360474112
675826830935461889,252987054,2015-12-12,3_675770699550695424
675826779831975936,29584150,2015-12-12,3_675826779395788800
675826683652493312,163718600,2015-12-12,3_675719390747361282
675826661770846208,385846198,2015-12-12,3_675744611286020096
675826608842887168,325536351,2015-12-12,3_675720855876423681
675826608842887168,325536351,2015-12-12,3_675720853154320384
675826608842887168,325536351,2015-12-12,3_675720857956835328
675826608842887168,325536351,2015-12-12,3_675720855826145282
675826532615589888,777958170,2015-12-12,3_675819326260117504
675826489275887616,240255052,2015-12-12,3_675244897134206976
675826453511032832,762623358,2015-12-12,3_675637317067866112
675826448255488000,1651572211,2015-12-12,3_675745682129555460
675826410242510849,367184298,2015-12-12,3_675741097486917633
675826390160150528,2542812312,2015-12-12,3_675753438765056000
675826387735986177,3147255967,2015-12-12,3_675747571751632896
675826372359684096,27293869,2015-12-12,3_675750562487472128
675826362393960449,477914145,2015-12-12,3_675744611286020096
675826350544961536,3732087792,2015-12-12,3_675457632191324160
675826331356033024,538437711,2015-12-12,3_675725218971836416
675826288599261184,510209931,2015-12-12,3_675770699550695424
675826252436099073,2865859529,2015-12-12,3_675818493669838848
675826243527397376,4438536503,2015-12-12,3_675775268418674688
675826225877680128,3220070977,2015-12-12,3_675770699550695424
675826168336003072,612805800,2015-12-12,3_675321802151878659
675826148899741697,2587748954,2015-12-12,3_675745682129555460
675826147066707968,1544293765,2015-12-12,3_675745682129555460
675826138657239041,333819204,2015-12-12,3_675753438765056000
675826116200894466,42908508,2015-12-12,3_675772955473874944
675826115559202816,2774983910,2015-12-12,3_675813573877198849
675826109603176448,372789976,2015-12-12,3_675598385227919360
675826083632123904,20380049,2015-12-12,3_675826083472764928
675826081165877252,493071741,2015-12-12,3_675750562487472128
675826077437161472,318341978,2015-12-12,3_675770699550695424
675826054066491392,2520278324,2015-12-12,3_675751000737759232
675825995954393088,192324489,2015-12-12,3_675818493669838848
675825980360040448,320725937,2015-12-12,3_675747880041381888
675825977096818688,186043133,2015-12-12,3_675745380982726657
675825948776914944,820204081,2015-12-12,3_675777917654310912
675825879902257152,104217434,2015-12-12,3_675744826000859136
675825874806116352,211707946,2015-12-12,3_675748710089940992
675825874395127808,83728463,2015-12-12,3_675818493669838848
675825870792237058,2385160333,2015-12-12,3_675775268418674688
675825864345575424,469803857,2015-12-12,3_675773490641903618
675825859182338048,514865904,2015-12-12,3_675770699550695424
675825853150965760,537378352,2015-12-12,3_675818493669838848
675825849787027456,185560335,2015-12-12,3_675814220085207040
675825847459295232,4587241,2015-12-12,3_675813076227215360
675825842769932290,161162501,2015-12-12,3_675748710089940992
675825833710342144,16029092,2015-12-12,3_675770699550695424
675825793528963072,22994446,2015-12-12,3_675747571751632896
675825779868045312,3371832673,2015-12-12,3_675753438765056000
