author_id	Type	Lang	Stance
992552080639430656	Unclear	N/A	Unclear
401775393	Private individuals	en	For
516413934	Advocacy actors	fr	For
2510820704	Advocacy actors	en	For
716606140637978624	Advocacy actors	es	For
50257070	Business actors	en	For
19491190	Advocacy actors	fr	For
434246933	Business actors	fr	Unclear
4209011170	Unclear	N/A	Unclear
3978680777	Journalistic actors	fr	Unclear
726538858985345024	Unclear	ar	Unclear
946643038704689152	Scientific actors	pl	Unclear
939914799131058176	Political actors	en	Unclear
18510558	Business actors	es	Unclear
174361486	Business actors	es	Unclear
2775374745	Advocacy actors	en	For
222642262	Business actors	fr	Unclear
148852389	Business actors	fr	Unclear
524474062	Political actors	de	For
3055860526	Journalistic actors	pl	Unclear
4339015883	Journalistic actors	en	Unclear
16808626	Business actors	es	For
151425419	Business actors	es	Unclear
42982767	Political actors	en	Unclear
312698496	Business actors	en	For
1417393600019718145	Business actors	en	For
4210399522	Unclear	N/A	Unclear
2228520805	Advocacy actors	en	For
737753101311082496	Advocacy actors	en	For
1904342161	Journalistic actors	en	Unclear
3016467289	Private individuals	en	Unclear
4210755455	Unclear	N/A	Unclear
9.60882E+17	Private individuals	de	Unclear
126628622	Advocacy actors	en	For
21051656	Advocacy actors	en	For
269858714	Advocacy actors	en	For
133663801	Journalistic actors	fr	Unclear
66968296	Unclear	tr	Unclear
1199827990361858048	Business actors	es	For
2238293025	Business actors	en	Unclear
739062054754111490	Scientific actors	en	Unclear
755252174	Advocacy actors	en	For
57043553	Advocacy actors	en	For
4210065664	Unclear	N/A	Unclear
861924584697757697	Business actors	en	Unclear
1528501964	Business actors	pl	Unclear
2152150705	Advocacy actors	en	For
2273599211	Unclear	N/A	Unclear
783719151684685824	Journalistic actors	en	For
237417499	Journalistic actors	en	Unclear
252751061	Journalistic actors	en	Unclear
3240285742	Advocacy actors	en	For
27955989	Business actors	fr	Unclear
32140995	Journalistic actors	en	For
2843451077	Private individuals	en	Unclear
170354845	Journalistic actors	en	For
554967159	Business actors	fr	For
1456501764	Unclear	N/A	Unclear
176470818	Private individuals	en	Unclear
501801749	Advocacy actors	en	Unclear
539095500	Political actors	de	Unclear
851393903550922752	Advocacy actors	en	For
968776251983966209	Advocacy actors	en	For
902832019947884544	Advocacy actors	en	Unclear
122662012	Advocacy actors	en	Unclear
229045433	Advocacy actors	pt	For
251965841	Political actors	en	Unclear
112364289	Political actors	en	Unclear
24841658	Political actors	en	Unclear
188645481	Political actors	en	Unclear
222110806	Political actors	en	Unclear
304146825	Political actors	en	Unclear
1534021543	Political actors	en	Unclear
21793505	Advocacy actors	en	For
102325445	Political actors	en	Unclear
105614452	Private individuals	nl	Unclear
188736341	Advocacy actors	en	Unclear
1924574154	Unclear	N/A	Unclear
131401034	Journalistic actors	en	For
1163190717944143874	Political actors	es	Unclear
1468618382115500032	Advocacy actors	en	For
18585097	Advocacy actors	de	For
343890284	Political actors	de	Unclear
84279399	Political actors	de	Unclear
164620984	Political actors	de	Unclear
41146281	Advocacy actors	de	For
17273355	Advocacy actors	en	For
1143192461516447746	Business actors	en	For
9294762	Journalistic actors	en	Unclear
3008051701	Business actors	en	For
915487163751571457	Advocacy actors	en	For
185043343	Political actors	en	For
612791811	Business actors	es	For
18216250	Advocacy actors	en	For
203102535	Advocacy actors	en	Unclear
967737704950697984	Advocacy actors	en	For
267310512	Business actors	es	Unclear
1037004584160559104	Advocacy actors	es	For
154836286	Advocacy actors	es	For
1171683450862149632	Advocacy actors	en	For
28580099	Journalistic actors	en	Unclear
2595384162	Political actors	en	For
130963864	Private individuals	fr	Unclear
373825681	Private individuals	fr	Unclear
923479872797839361	Advocacy actors	es	For
38407430	Advocacy actors	en	For
1514220446	Advocacy actors	es	For
17410863	Journalistic actors	en	For
200244473	Advocacy actors	en	Unclear
210148155	Political actors	es	Unclear
92731878	Journalistic actors	en	Unclear
3221515144	Journalistic actors	en	Unclear
1429480934735192073	Private individuals	id	Unclear
223416400	Journalistic actors	en	For
369338525	Business actors	en	For
39287327	Business actors	en	For
329628561	Business actors	en	For
2326603459	Advocacy actors	en	For
217079744	Advocacy actors	en	For
2383377800	Advocacy actors	fr	For
1001455291253362688	Business actors	en	For
727316106843574272	Political actors	en	For
47743865	Journalistic actors	en	For
1120035542845018112	Political actors	es	Unclear
151090798	Unclear	N/A	Unclear
780876863493185536	Private individuals	en	For
580035232	Business actors	en	Unclear
3040782922	Journalistic actors	en	For
2381085919	Scientific actors		Unclear
140252240	Political actors	en	For
327722701	Journalistic actors	ar	Unclear
